id,timestamp,provincia,titulo,sentimiento,Hostelería y Turismo,Sanitario y Salud,Educación y Formación,Tecnología y Telecomunicaciones,Construcción e Inmobiliaria,Industria y Manufactura,Comercio y Ventas,Logística y Transporte,Administración y Finanzas,"Cultura, Arte y Ocio",topico_0,topico_1,topico_2,topico_3,topico_4,topico_5,topico_6,topico_7
https://europa.eu/eures/portal/jv-se/jv-details/NzI2MDEyNyAxMDI?lang=es,10/10/2025,Asturias,AGENTE COMERCIAL DE SEGUROS (REF.: 6891),0,0.0414104753484328,0.1209885965411861,0.041577775341769,0.0590359531342983,0.0307195428758859,0.0616852932920058,0.1635602414608001,0.1371375943223635,0.3241487443447113,0.0197358143826325,0.8145018475991544,0.02632430023385769,0.027557322551555803,0.026323764644001928,0.026324908000255075,0.026324195683564946,0.026320969548465304,0.026322691739144758
https://europa.eu/eures/portal/jv-se/jv-details/NzE5Mjc3OCAxMDI?lang=es,10/10/2025,Huesca,PERSONAL CONDUCCIÓN DE CAMIONES RÍGIDOS Y GÓNDOLAS,0,0.0309854742760459,0.0574778823259597,0.036353837698698,0.0291806512201825,0.1473102093053361,0.0660282025734583,0.0554566062055528,0.5405938426653544,0.0187031626701354,0.0179101442142079,0.009259599942818273,0.009275499374247478,0.009259608824851535,0.9349463929218614,0.009464449085179419,0.009270777594636249,0.009264043629694737,0.009259628626710927
https://europa.eu/eures/portal/jv-se/jv-details/NzIwMTgwOSAxMDI?lang=es,10/10/2025,Las Palmas,EDUCADORES SOCIALES,0,0.0914170568188031,0.1926276187101999,0.193099374572436,0.0501067427297433,0.051787627240022,0.0754208490252494,0.0805377165476481,0.0792313416798909,0.1156953796744346,0.0700763314962387,0.0555582938502704,0.3333130722135162,0.33333405155640855,0.05555898231510483,0.05555967573677923,0.055559588781344295,0.05555773330954576,0.05555860223703068
https://europa.eu/eures/portal/jv-se/jv-details/NzE3MDkyNCAxMDI?lang=es,10/10/2025,Islas Baleares,PIZZERO (REF. 042025002051),0,0.3217993925015132,0.0639920967320601,0.0538437652091185,0.0346448086202144,0.0720118607083956,0.0904978128770987,0.116908515493075,0.0459050104642907,0.0642273686826229,0.1361693839232126,0.02091425635730318,0.021440492495390737,0.020892483717364865,0.020867373872202704,0.02160802861568062,0.12335276238960777,0.7499864457848799,0.020938156767570125
https://europa.eu/eures/portal/jv-se/jv-details/NzI2MzQ4OSAxMDI?lang=es,10/10/2025,Santa Cruz de Tenerife,INTÉRPRETES DE LA LENGUA DE SIGNOS,0,0.080647524446249,0.0929843923076987,0.2133900076150894,0.103762703637282,0.0218837601908793,0.0357432765110085,0.0671192427010585,0.0395009870020051,0.03257050155662,0.3123975768685341,0.15800991652692978,0.6836806832533968,0.026455494043833197,0.026320608982295927,0.026573526567493094,0.0263209049506027,0.026318760930630763,0.02632010474481772
https://europa.eu/eures/portal/jv-se/jv-details/NzI2MDE1MiAxMDI?lang=es,10/10/2025,A Coruña,AGENTES DE SEGUROS,0,0.0414104753484328,0.1209885965411861,0.041577775341769,0.0590359531342983,0.0307195428758859,0.0616852932920058,0.1635602414608001,0.1371375943223635,0.3241487443447113,0.0197358143826325,0.056612832319103176,0.05557380815779615,0.05557080236065236,0.05557501594794094,0.05557677134795653,0.05557778009533865,0.33163562182026457,0.33387736795094763
https://europa.eu/eures/portal/jv-se/jv-details/NzIxODk0MCAxMDI?lang=es,10/10/2025,Burgos,ENFERMEROS DE CUIDADOS GENERALES,0,0.0129640947949762,0.8238071799278259,0.0494453627616167,0.0200637211867918,0.0057329499783615,0.0155795653505871,0.0225225382794936,0.0171730191602061,0.0201020919096966,0.0126095079661657,0.07692488374479513,0.46151727047225777,0.07693122687440128,0.0769251913841215,0.0769261306648665,0.0769259578587454,0.07692431727857192,0.07692502172224046
https://europa.eu/eures/portal/jv-se/jv-details/NzI0OTg1MiAxMDI?lang=es,10/10/2025,León,PERSONAL DE LIMPIEZA,0,0.0967293282349904,0.1370691880583763,0.0488628533979257,0.0626418447742859,0.2261342952648798,0.1188731802006562,0.0885417784253756,0.1055071254571278,0.0549099879960219,0.0607304150859514,0.05555785601711304,0.055559306220808416,0.0555605601380087,0.6110887597987976,0.05555899595139351,0.05555910826616192,0.05555733494227424,0.05555807866544254
https://europa.eu/eures/portal/jv-se/jv-details/NzIxNTUxNyAxMDI?lang=es,10/10/2025,León,ENFERMEROS DE CUIDADOS GENERALES,0,0.0129640947949762,0.8238071799278259,0.0494453627616167,0.0200637211867918,0.0057329499783615,0.0155795653505871,0.0225225382794936,0.0171730191602061,0.0201020919096966,0.0126095079661657,0.07692860868713162,0.07692741999906248,0.46149843670660023,0.07692720106247741,0.07692765686356022,0.07693836438517394,0.0769256660020778,0.07692664629391638
https://europa.eu/eures/portal/jv-se/jv-details/NzI1MzYxOCAxMDI?lang=es,10/10/2025,Valencia,AUXILIARES DE ENFERMERÍA,0,0.0269401798335214,0.7850705782572428,0.0740657933056354,0.0128469415940344,0.0106692685900876,0.0159528083944072,0.0138227282247195,0.0314135770313441,0.0172760126491387,0.011942113439242,0.04390865819647281,0.04348251791900618,0.04386511186764166,0.04361833876652726,0.045126601006821185,0.04348443755188602,0.043481757748464925,0.6930325769431799
