id,timestamp,provincia,titulo,sentimiento,Hostelería y Turismo,Sanitario y Salud,Educación y Formación,Tecnología y Telecomunicaciones,Construcción e Inmobiliaria,Industria y Manufactura,Comercio y Ventas,Logística y Transporte,Administración y Finanzas,"Cultura, Arte y Ocio"
https://europa.eu/eures/portal/jv-se/jv-details/NzI2MDEyNyAxMDI?lang=es,10/10/2025,Asturias,AGENTE COMERCIAL DE SEGUROS (REF.: 6891),0,0.04141047534843286,0.12098859654118617,0.04157777534176906,0.059035953134298325,0.030719542875885963,0.06168529329200586,0.16356024146080017,0.13713759432236353,0.3241487443447113,0.019735814382632572
https://europa.eu/eures/portal/jv-se/jv-details/NzE5Mjc3OCAxMDI?lang=es,10/10/2025,Huesca,PERSONAL CONDUCCIÓN DE CAMIONES RÍGIDOS Y GÓNDOLAS,0,0.03098547427604596,0.057477882325959705,0.036353837698698044,0.02918065122018258,0.1473102093053361,0.06602820257345836,0.055456606205552816,0.5405938426653544,0.018703162670135498,0.01791014421420793
https://europa.eu/eures/portal/jv-se/jv-details/NzIwMTgwOSAxMDI?lang=es,10/10/2025,Las Palmas,EDUCADORES SOCIALES,0,0.09141705681880315,0.19262761871019998,0.193099374572436,0.050106742729743324,0.051787627240022026,0.07542084902524948,0.08053771654764812,0.07923134167989095,0.11569537967443466,0.07007633149623871
https://europa.eu/eures/portal/jv-se/jv-details/NzE3MDkyNCAxMDI?lang=es,10/10/2025,Islas Baleares,PIZZERO (REF. 042025002051),0,0.3217993925015132,0.06399209673206012,0.05384376520911852,0.03464480862021446,0.07201186070839564,0.09049781287709872,0.11690851549307506,0.045905010464290776,0.06422736868262291,0.13616938392321268
https://europa.eu/eures/portal/jv-se/jv-details/NzI2MzQ4OSAxMDI?lang=es,10/10/2025,Santa Cruz de Tenerife,INTÉRPRETES DE LA LENGUA DE SIGNOS,0,0.08064752444624901,0.09298439230769873,0.21339000761508942,0.10376270363728206,0.021883760190879304,0.03574327651100854,0.06711924270105858,0.03950098700200518,0.03257050155662,0.3123975768685341
https://europa.eu/eures/portal/jv-se/jv-details/NzI2MDE1MiAxMDI?lang=es,10/10/2025,A Coruña,AGENTES DE SEGUROS,0,0.04141047534843286,0.12098859654118617,0.04157777534176906,0.059035953134298325,0.030719542875885963,0.06168529329200586,0.16356024146080017,0.13713759432236353,0.3241487443447113,0.019735814382632572
https://europa.eu/eures/portal/jv-se/jv-details/NzIxODk0MCAxMDI?lang=es,10/10/2025,Burgos,ENFERMEROS DE CUIDADOS GENERALES,0,0.012964094794976214,0.8238071799278259,0.04944536276161671,0.020063721186791856,0.005732949978361527,0.015579565350587169,0.02252253827949365,0.01717301916020612,0.020102091909696657,0.012609507966165742
https://europa.eu/eures/portal/jv-se/jv-details/NzI0OTg1MiAxMDI?lang=es,10/10/2025,León,PERSONAL DE LIMPIEZA,0,0.09672932823499043,0.1370691880583763,0.0488628533979257,0.06264184477428596,0.22613429526487985,0.11887318020065625,0.08854177842537563,0.10550712545712788,0.054909987996021904,0.060730415085951485
https://europa.eu/eures/portal/jv-se/jv-details/NzIxNTUxNyAxMDI?lang=es,10/10/2025,León,ENFERMEROS DE CUIDADOS GENERALES,0,0.012964094794976214,0.8238071799278259,0.04944536276161671,0.020063721186791856,0.005732949978361527,0.015579565350587169,0.02252253827949365,0.01717301916020612,0.020102091909696657,0.012609507966165742
https://europa.eu/eures/portal/jv-se/jv-details/NzI1MzYxOCAxMDI?lang=es,10/10/2025,Valencia,AUXILIARES DE ENFERMERÍA,0,0.026940179833521444,0.7850705782572428,0.07406579330563545,0.012846941594034433,0.010669268590087691,0.01595280839440723,0.013822728224719564,0.031413577031344175,0.017276012649138767,0.011942113439242045
https://europa.eu/eures/portal/jv-se/jv-details/NzI1MDI5NiAxMDI?lang=es,10/10/2025,Albacete,ELECTRICISTA,0,0.02564945661773284,0.05185297535111507,0.17444554840524992,0.13968859861294428,0.04074992146342993,0.35343437890211743,0.054749069114526115,0.07800828479230404,0.04456371751924356,0.03685805636147658
https://europa.eu/eures/portal/jv-se/jv-details/NzI1MjYxNCAxMDI?lang=es,10/10/2025,Cáceres,RESPONSABLE DE SUPERMERCADO,0,0.06610072155793507,0.07117391905436914,0.0641303692633907,0.05911015889917811,0.0649482620259126,0.08214640989899635,0.31943851461013156,0.08830944448709488,0.13954502592484155,0.04509717598557472
https://europa.eu/eures/portal/jv-se/jv-details/NzI1MDA2MyAxMDI?lang=es,10/10/2025,Zamora,AYUDANTE DE COCINA,0,0.253025750319163,0.1486594801147779,0.14438642064730325,0.03870824910700321,0.02379694456855456,0.09860559118290742,0.06992132154603799,0.033381418945888676,0.07335896044969559,0.11615586342910926
https://europa.eu/eures/portal/jv-se/jv-details/NzI2MDQ0NiAxMDI?lang=es,10/10/2025,Asturias,FORMADOR DE TALLER EN C.A.I. DE CARDEO(REF.6887).,0,0.029957111924886703,0.04044743200453619,0.6407130658626556,0.023280387899527948,0.02990551106631756,0.07957896714409192,0.04903646061817805,0.04967098954754571,0.03177995607256889,0.02563009907801946
https://europa.eu/eures/portal/jv-se/jv-details/NzI2MDY3NSAxMDI?lang=es,10/10/2025,Asturias,PERSONAL DE FORMACIÓN PARA CONDUCTORES CON DISCAPACIDAD (REF.: 6895),0,0.018728554869691532,0.033595368886987366,0.7216098507245382,0.08015366519490878,0.010942680450777212,0.016709705193837483,0.019442615564912558,0.05864230667551359,0.030347368369499843,0.009827880576873818
